,Year,Area,Total Generation (TWh)
2366,2006,Italy,657.5360159999998
2379,2006,Latvia,9.784228
2392,2006,Lithuania,15.110299999999997
2405,2006,Luxembourg,7.055183999999978
2418,2006,Malta,4.522
2431,2006,Netherlands,217.638244
2444,2006,Poland,467.89983199999995
2457,2006,Portugal,112.11091399999998
2470,2006,Romania,144.90870399999991
2483,2006,Slovakia,49.699628000000004
2496,2006,Slovenia,30.114411999999998
2509,2006,Spain,597.130935999999
2522,2006,Sweden,220.46869400000003
2535,2006,United Kingdom,860.261108
2548,2007,Austria,132.4440249999999
2561,2007,Belgium,132.81133599999998
2574,2007,Bulgaria,93.510418
2587,2007,Croatia,27.51039999999999
2600,2007,Cyprus,9.74307
2613,2007,Czech Republic,203.15219199999999
2626,2007,Denmark,98.52300000000002
2639,2007,Estonia,24.381119999999996
2652,2007,Finland,152.31769200000002
2665,2007,France,712.334782
2678,2007,Germany,1425.599999999999
2691,2007,Greece,160.09968400000002
2704,2007,Hungary,72.61515399999999
2717,2007,Ireland,61.19513199999998
2730,2007,Italy,658.51452
2743,2007,Latvia,9.542704
2756,2007,Lithuania,16.646801999999987
2769,2007,Luxembourg,6.399473999999999
2782,2007,Malta,4.592
2795,2007,Netherlands,230.69560199999998
2808,2007,Poland,461.02759800000007
2821,2007,Portugal,106.18847999999998
2834,2007,Romania,140.7339659999999
2847,2007,Slovakia,45.150000000000006
2860,2007,Slovenia,29.873991999999998
2873,2007,Spain,620.736416
2886,2007,Sweden,231.31779
2899,2007,United Kingdom,858.8635780000002
2912,2008,Austria,134.521075
2925,2008,Belgium,126.648098
2938,2008,Bulgaria,96.52033399999988
2951,2008,Croatia,28.055000000000003
2964,2008,Cyprus,10.1569
2977,2008,Czech Republic,188.813984
2990,2008,Denmark,90.694
3003,2008,Estonia,21.163998
3016,2008,Finland,139.53467999999978
3029,2008,France,721.319588
3042,2008,Germany,1397.4000000000003
3055,2008,Greece,159.18176
3068,2008,Hungary,72.319188
3081,2008,Ireland,64.95709099999999
3094,2008,Italy,668.0874339999999
3107,2008,Latvia,10.551836
3120,2008,Lithuania,16.284118
3133,2008,Luxembourg,5.448329999999998
3146,2008,Malta,4.624
3159,2008,Netherlands,234.12194600000007
3172,2008,Poland,448.1808319999999
3185,2008,Portugal,102.143468
3198,2008,Romania,144.510234
3211,2008,Slovakia,45.411664
3224,2008,Slovenia,31.846037999999997
3237,2008,Spain,611.0822259999999
3250,2008,Sweden,236.41602999999986
3263,2008,United Kingdom,841.55836
3276,2009,Austria,136.35464199999979
3289,2009,Belgium,137.400034
3302,2009,Bulgaria,90.50177999999987
3315,2009,Croatia,28.397321999999992
3328,2009,Cyprus,10.429416000000002
3341,2009,Czech Republic,181.967224
3354,2009,Denmark,90.45300000000003
3367,2009,Estonia,17.556639999999998
3380,2009,Finland,131.143994
3393,2009,France,673.35527
3406,2009,Germany,1300.4759999999999
3419,2009,Greece,156.37605800000003
3432,2009,Hungary,62.730029999999985
3445,2009,Ireland,59.920952
3458,2009,Italy,614.8899859999999
3471,2009,Latvia,11.138133999999988
3484,2009,Lithuania,17.891847999999996
3497,2009,Luxembourg,6.303021999999999
3510,2009,Malta,4.336
3523,2009,Netherlands,247.14899800000003
3536,2009,Poland,435.56078399999893
3549,2009,Portugal,111.86009600000001
3562,2009,Romania,125.4782979999999
3575,2009,Slovakia,41.533122
3588,2009,Slovenia,32.199358
3601,2009,Spain,566.2049999999989
3614,2009,Sweden,221.559368
3627,2009,United Kingdom,780.0787540000001
3640,2010,Austria,140.74861999999976
3653,2010,Belgium,143.410952
3666,2010,Bulgaria,99.31176400000001
3679,2010,Croatia,31.977919999999997
3692,2010,Cyprus,10.644483999999999
3705,2010,Czech Republic,189.35850999999997
3718,2010,Denmark,94.730192
3731,2010,Estonia,25.927766000000005
3744,2010,Finland,152.4665219999999
3757,2010,France,723.5202340000001
3770,2010,Germany,1375.8999999999999
3783,2010,Greece,145.53036999999998
3796,2010,Hungary,65.21329
3809,2010,Ireland,59.907504
3822,2010,Italy,635.5231759999999
3835,2010,Latvia,13.25532399999998
3848,2010,Lithuania,9.487943999999999
3861,2010,Luxembourg,6.461896
3874,2010,Malta,4.22736
3887,2010,Netherlands,256.84957199999997
3900,2010,Poland,450.528024
3913,2010,Portugal,114.47349000000001
3926,2010,Romania,130.2955159999999
3939,2010,Slovakia,43.843884
3952,2010,Slovenia,32.137499999999996
3965,2010,Spain,559.6664
3978,2010,Sweden,240.07901999999999
3991,2010,United Kingdom,803.2928899999998
4004,2011,Austria,129.94876499999992
4017,2011,Belgium,132.95276599999997
4030,2011,Bulgaria,111.13155000000002
4043,2011,Croatia,25.066537999999984
4056,2011,Cyprus,9.858423999999998
4069,2011,Czech Republic,191.78001400000002
4082,2011,Denmark,84.434242
4095,2011,Estonia,25.78743999999999
4108,2011,Finland,132.98579
4121,2011,France,711.029823
4134,2011,Germany,1369.5
4147,2011,Greece,149.40814199999988
4160,2011,Hungary,62.83635199999999
4173,2011,Ireland,58.27282800000001
4186,2011,Italy,644.202942
4199,2011,Latvia,12.188095999999998
4212,2011,Lithuania,7.979063999999988
4225,2011,Luxembourg,5.297573999999998
4238,2011,Malta,4.3578
4251,2011,Netherlands,244.87536999999992
4264,2011,Poland,465.7832019999999
4277,2011,Portugal,113.614504
4290,2011,Romania,137.02895
4303,2011,Slovakia,44.563374
4316,2011,Slovenia,30.919866000000003
4329,2011,Spain,568.9839999999989
4342,2011,Sweden,240.74897799999997
4355,2011,United Kingdom,769.618118
4368,2012,Austria,141.78338699999986
4381,2012,Belgium,125.84011000000001
4394,2012,Bulgaria,100.12145599999995
4407,2012,Croatia,23.423911999999987
4420,2012,Cyprus,9.433684
4433,2012,Czech Republic,186.88029599999993
4446,2012,Denmark,71.941236
4459,2012,Estonia,23.932956
4472,2012,Finland,124.28653199999988
4485,2012,France,730.00087
4498,2012,Germany,1423.7999999999997
4511,2012,Greece,152.661172
4524,2012,Hungary,59.819222
4537,2012,Ireland,59.310885
4550,2012,Italy,642.102862
4563,2012,Latvia,12.336038000000002
4576,2012,Lithuania,8.60318399999998
4589,2012,Luxembourg,5.511707999999991
4602,2012,Malta,4.587322
4615,2012,Netherlands,226.47301799999997
4628,2012,Poland,457.83257199999997
4641,2012,Portugal,104.23406999999999
4654,2012,Romania,128.98271199999996
4667,2012,Slovakia,44.43899999999999
4680,2012,Slovenia,30.71306399999999
4693,2012,Spain,581.1372479999997
4706,2012,Sweden,269.314
4719,2012,United Kingdom,794.2127439999997
4732,2013,Austria,133.37389499999978
4745,2013,Belgium,123.81170800000001
4758,2013,Bulgaria,91.24023799999985
4771,2013,Croatia,30.31693
4784,2013,Cyprus,8.580018
4797,2013,Czech Republic,182.234522
4810,2013,Denmark,83.77755999999998
4823,2013,Estonia,26.562141999999994
4836,2013,Finland,129.01688599999997
4849,2013,France,752.5628770000001
4862,2013,Germany,1456.6999999999985
4875,2013,Greece,140.635066
4888,2013,Hungary,51.45055199999999
4901,2013,Ireland,55.433916999999994
4914,2013,Italy,619.2603759999989
4927,2013,Latvia,12.417861999999978
4940,2013,Lithuania,7.951692
4953,2013,Luxembourg,3.7003619999999984
4966,2013,Malta,4.5028939999999995
4979,2013,Netherlands,224.73745599999978
4992,2013,Poland,465.538842
5005,2013,Portugal,112.898494
5018,2013,Romania,122.388498
5031,2013,Slovakia,44.24400000000001
5044,2013,Slovenia,31.191658000000004
