,Year,Area,Share_sum(%),Change_sum(%),Latitude,Longitude
0,2000,Austria,64.43295668000205,0.0,47.518859,14.130515
1,2000,Belgium,96.7223611564155,0.0,50.785392,4.800448
2,2000,Bulgaria,139.22519948773504,0.0,42.508785,25.15709
3,2000,Croatia,99.16628932157768,0.0,45.805799,16.37241
4,2000,Cyprus,200.0,0.0,35.216071,33.692434
5,2000,Czech Republic,228.80890635482533,0.0,49.882364,15.377555
6,2000,Denmark,215.352362969956,0.0,55.966965,9.018163
7,2000,Estonia,199.57125657063983,0.0,58.724865,25.867126
8,2000,Finland,80.73609273340948,0.0,63.252361,27.276449
9,2000,France,23.96255773557931,0.0,46.696113,2.552275
10,2000,Germany,178.4103227611287,0.0,50.961733,9.678348
11,2000,Greece,248.71314927468396,0.0,39.492763,21.72568
12,2000,Hungary,145.28238051457657,0.0,47.086841,19.447867
13,2000,Ireland,218.77587226493182,0.0,53.078726,-7.798588
14,2000,Italy,171.95433296836632,0.0,44.732482,11.076907
15,2000,Latvia,63.482485747867536,0.0,57.066872,25.458723
16,2000,Lithuania,41.179940382470974,0.0,55.103703,24.089932
17,2000,Luxembourg,118.581465532666,0.0,49.733732,6.07762
18,2000,Malta,200.0,0.0,35.9375,14.3754
19,2000,Netherlands,211.7270362750188,0.0,52.422211,5.61144
20,2000,Poland,291.65313097862685,0.0,51.990316,19.490468
21,2000,Portugal,174.3129207783822,0.0,39.606675,-8.271754
22,2000,Romania,158.21955003878955,0.0,45.733237,24.972624
23,2000,Slovakia,81.05071757906339,0.0,48.734044,19.049868
24,2000,Slovenia,106.63915925860044,0.0,46.06076,14.915312
25,2000,Spain,148.26201695659444,0.0,40.090953,-3.464718
26,2000,Sweden,7.7021901693474915,0.0,65.85918,19.01705
27,2000,United Kingdom,181.27118530884792,0.0,54.402739,-2.116346
28,2001,Austria,72.9392400373383,101.17207369518292,47.518859,14.130515
29,2001,Belgium,91.99419980157198,-37.38432493028462,50.785392,4.800448
30,2001,Bulgaria,147.26799852697442,73.65803478091466,42.508785,25.15709
31,2001,Croatia,100.37273695420627,229.2007221829161,45.805799,16.37241
32,2001,Cyprus,200.0,10.74183976261128,35.216071,33.692434
33,2001,Czech Republic,224.17027513539293,0.5666504458219412,49.882364,15.377555
34,2001,Denmark,216.24638718744168,19.71066241144178,55.966965,9.018163
35,2001,Estonia,199.57562183189896,-0.267567608249208,58.724865,25.867126
36,2001,Finland,94.99141720593641,135.51871571898832,63.252361,27.276449
37,2001,France,20.800431646643236,-37.643252725512454,46.696113,2.552275
38,2001,Germany,178.10996563573875,12.730794858014205,50.961733,9.678348
39,2001,Greece,255.7069108448261,-50.42498110375759,39.492763,21.72568
40,2001,Hungary,145.2771311694893,-5.940840783411944,47.086841,19.447867
41,2001,Ireland,220.33127638843757,26.320939275308298,53.078726,-7.798588
42,2001,Italy,171.60724097988933,-17.2063528346506,44.732482,11.076907
43,2001,Latvia,67.3344033942894,-0.5944418921035357,57.066872,25.458723
44,2001,Lithuania,36.435999551126315,41.170966527410776,55.103703,24.089932
45,2001,Luxembourg,161.36454747784725,392.32632311049684,49.733732,6.07762
46,2001,Malta,200.0,2.71257172665624,35.9375,14.3754
47,2001,Netherlands,211.6939046249623,21.76450379974897,52.422211,5.61144
48,2001,Poland,290.0386501572335,59.835569337981404,51.990316,19.490468
49,2001,Portugal,161.28054063420518,-3.2140947076591715,39.606675,-8.271754
50,2001,Romania,160.69554173437152,201.64702359427415,45.733237,24.972624
51,2001,Slovakia,78.92223995175317,46.81808208498306,48.734044,19.049868
52,2001,Slovenia,107.84850358040985,165.26622011674647,46.06076,14.915312
53,2001,Spain,133.1777224748989,-1.844723220339847,40.090953,-3.464718
54,2001,Sweden,8.79299625255234,86.98179167528961,65.85918,19.01705
55,2001,United Kingdom,182.26201589584358,-1.0490478345169585,54.402739,-2.116346
56,2002,Austria,72.82728650596948,-18.643706606237107,47.518859,14.130515
57,2002,Belgium,92.5524160170003,2.0514652190211606,50.785392,4.800448
58,2002,Bulgaria,134.67962272219702,-44.028645492546794,42.508785,25.15709
59,2002,Croatia,124.4903741716118,123.14903049877441,45.805799,16.37241
60,2002,Cyprus,200.0,13.179386088425801,35.216071,33.692434
61,2002,Czech Republic,208.46788115931102,-17.073398550061462,49.882364,15.377555
62,2002,Denmark,211.91373427712986,7.4048280079785025,55.966965,9.018163
63,2002,Estonia,199.2963527618153,-10.011396340895981,58.724865,25.867126
64,2002,Finland,104.2489446993678,55.13544689635201,63.252361,27.276449
65,2002,France,23.298200571915835,25.900784324452246,46.696113,2.552275
66,2002,Germany,177.79687231483058,-3.543045703341776,50.961733,9.678348
67,2002,Greece,250.8147186949669,245.8650973841163,39.492763,21.72568
68,2002,Hungary,146.35351655000298,61.5127147014114,47.086841,19.447867
69,2002,Ireland,216.3305558909951,-10.479850770023564,53.078726,-7.798588
70,2002,Italy,177.893062475673,-59.91758353495504,44.732482,11.076907
71,2002,Latvia,74.97768281722837,33.287680718566044,57.066872,25.458723
72,2002,Lithuania,30.964031185769034,-10.088174815162693,55.103703,24.089932
73,2002,Luxembourg,189.23079606216893,574.5761617413028,49.733732,6.07762
74,2002,Malta,200.0,11.21976325270202,35.9375,14.3754
75,2002,Netherlands,210.66388570892775,4.4826405408573695,52.422211,5.61144
76,2002,Poland,289.41759858656565,55.42051858113984,51.990316,19.490468
77,2002,Portugal,190.6812705366919,88.38329265379639,39.606675,-8.271754
78,2002,Romania,158.08004704325762,-71.26304502811871,45.733237,24.972624
