,Year,Area,Share_sum(%),Change_sum(%)
0,2000,Austria,64.43295668000205,0.0
13,2000,Belgium,96.7223611564155,0.0
26,2000,Bulgaria,139.22519948773504,0.0
39,2000,Croatia,99.16628932157768,0.0
52,2000,Cyprus,200.0,0.0
65,2000,Czech Republic,228.8089063548253,0.0
78,2000,Denmark,215.35236296995598,0.0
91,2000,Estonia,199.57125657063986,0.0
104,2000,Finland,80.73609273340949,0.0
117,2000,France,23.96255773557931,0.0
130,2000,Germany,178.41032276112867,0.0
143,2000,Greece,248.71314927468393,0.0
156,2000,Hungary,145.28238051457657,0.0
169,2000,Ireland,218.77587226493182,0.0
182,2000,Italy,171.95433296836632,0.0
195,2000,Latvia,63.48248574786754,0.0
208,2000,Lithuania,41.179940382470974,0.0
221,2000,Luxembourg,118.58146553266599,0.0
234,2000,Malta,200.0,0.0
247,2000,Netherlands,211.7270362750188,0.0
260,2000,Poland,291.6531309786268,0.0
273,2000,Portugal,174.3129207783822,0.0
286,2000,Romania,158.21955003878955,0.0
299,2000,Slovakia,81.05071757906339,0.0
312,2000,Slovenia,106.63915925860044,0.0
325,2000,Spain,148.26201695659444,0.0
338,2000,Sweden,7.7021901693474915,0.0
351,2000,United Kingdom,181.2711853088479,0.0
364,2001,Austria,72.9392400373383,101.1720736951829
377,2001,Belgium,91.99419980157198,-37.38432493028462
390,2001,Bulgaria,147.26799852697445,73.65803478091465
403,2001,Croatia,100.37273695420627,229.20072218291608
416,2001,Cyprus,200.0,10.74183976261128
429,2001,Czech Republic,224.1702751353929,0.5666504458219412
442,2001,Denmark,216.24638718744166,19.71066241144178
455,2001,Estonia,199.57562183189899,-0.267567608249208
468,2001,Finland,94.9914172059364,135.5187157189883
481,2001,France,20.80043164664324,-37.643252725512454
494,2001,Germany,178.10996563573875,12.730794858014203
507,2001,Greece,255.70691084482607,-50.42498110375759
520,2001,Hungary,145.2771311694893,-5.940840783411944
533,2001,Ireland,220.3312763884376,26.320939275308298
546,2001,Italy,171.6072409798893,-17.2063528346506
559,2001,Latvia,67.3344033942894,-0.5944418921035357
572,2001,Lithuania,36.435999551126315,41.17096652741078
585,2001,Luxembourg,161.36454747784725,392.32632311049684
598,2001,Malta,200.0,2.71257172665624
611,2001,Netherlands,211.6939046249623,21.764503799748972
624,2001,Poland,290.0386501572335,59.835569337981404
637,2001,Portugal,161.28054063420518,-3.2140947076591715
650,2001,Romania,160.69554173437152,201.64702359427417
663,2001,Slovakia,78.92223995175317,46.81808208498306
676,2001,Slovenia,107.84850358040984,165.26622011674647
689,2001,Spain,133.1777224748989,-1.844723220339847
702,2001,Sweden,8.79299625255234,86.98179167528961
715,2001,United Kingdom,182.26201589584358,-1.0490478345169585
728,2002,Austria,72.82728650596948,-18.643706606237103
741,2002,Belgium,92.5524160170003,2.0514652190211606
754,2002,Bulgaria,134.67962272219702,-44.0286454925468
767,2002,Croatia,124.4903741716118,123.14903049877442
780,2002,Cyprus,200.0,13.179386088425801
793,2002,Czech Republic,208.46788115931105,-17.07339855006146
806,2002,Denmark,211.91373427712983,7.404828007978502
819,2002,Estonia,199.29635276181534,-10.011396340895981
832,2002,Finland,104.24894469936781,55.13544689635201
845,2002,France,23.298200571915835,25.90078432445225
858,2002,Germany,177.7968723148306,-3.543045703341776
871,2002,Greece,250.8147186949669,245.86509738411627
884,2002,Hungary,146.35351655000295,61.5127147014114
897,2002,Ireland,216.3305558909951,-10.479850770023564
910,2002,Italy,177.893062475673,-59.91758353495504
923,2002,Latvia,74.97768281722838,33.287680718566044
936,2002,Lithuania,30.964031185769027,-10.088174815162692
949,2002,Luxembourg,189.23079606216893,574.5761617413029
962,2002,Malta,200.0,11.21976325270202
975,2002,Netherlands,210.66388570892778,4.4826405408573695
988,2002,Poland,289.41759858656565,55.42051858113984
1001,2002,Portugal,190.6812705366919,88.38329265379639
1014,2002,Romania,158.08004704325762,-71.26304502811871
1027,2002,Slovakia,70.803305168986,-50.112027423436686
1040,2002,Slovenia,113.80962760673283,8.98005319658418
1053,2002,Spain,153.65248744294584,106.96673230936914
1066,2002,Sweden,11.766215890150137,130.1238099510488
1079,2002,United Kingdom,180.84522277378798,-5.741726674394712
1092,2003,Austria,93.14912579995593,119.3407427257347
1105,2003,Belgium,95.28129151159025,3.3691829807881
1118,2003,Bulgaria,149.60750933938596,64.35468726417207
1131,2003,Croatia,135.4781000318376,54.5563144214527
1144,2003,Cyprus,200.0,14.108322324966938
1157,2003,Czech Republic,194.29774321099075,5.535065180143481
1170,2003,Denmark,219.82151753416926,61.36723154601836
1183,2003,Estonia,199.03533812383097,34.814501525833194
1196,2003,Finland,123.4722904935574,163.01224875062607
1209,2003,France,25.11364465610433,-51.99992182965726
1222,2003,Germany,180.51647078298265,45.208446960405006
1235,2003,Greece,240.38684051463582,311.1244869692126
1248,2003,Hungary,160.38221822120872,223.9270635262027
