,Unnamed: 0,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
93,121,2000,Estonia,Hard Coal,0.0,0.0,,
94,122,2000,Estonia,Lignite,0.0,0.0,,
95,123,2000,Estonia,Gas,0.596,7.00085161366105,,
96,124,2000,Estonia,Other fossil,7.899,92.7847766716589,,
97,125,2000,Estonia,Nuclear,0.0,0.0,,
99,127,2000,Estonia,Hydro,0.005,0.0587319766246733,,
100,129,2000,Estonia,Wind,0.0,0.0,,
101,130,2000,Estonia,Solar,0.0,0.0,,
102,131,2000,Estonia,Bioenergy,0.01325,0.155639738055384,,
103,132,2000,Estonia,Other renewables,0.0,0.0,,
104,170,2000,Finland,Fossil,23.927301999999997,34.2872182540685,,
105,171,2000,Finland,Coal,8.487,12.161656225272601,,
106,172,2000,Finland,Hard Coal,8.487,12.161656225272601,,
107,173,2000,Finland,Lignite,0.0,0.0,,
108,174,2000,Finland,Gas,10.131,14.5174666216846,,
109,175,2000,Finland,Other fossil,5.309302,7.608095407111191,,
110,176,2000,Finland,Nuclear,22.479,32.2118381392605,,
112,178,2000,Finland,Hydro,14.66,21.0074090093669,,
113,180,2000,Finland,Wind,0.078,0.11177202610713599,,
114,181,2000,Finland,Solar,0.001576,0.00225836811724163,,
115,182,2000,Finland,Bioenergy,8.639025,12.3795042030795,,
116,183,2000,Finland,Other renewables,0.0,0.0,,
117,187,2000,France,Fossil,50.62,9.45841265536809,,
118,188,2000,France,Coal,27.0039999999999,5.045732424843139,,
119,189,2000,France,Hard Coal,26.595,4.96931024436022,,
120,190,2000,France,Lignite,0.409,0.0764221804829227,,
121,191,2000,France,Gas,11.514000000000001,2.15140583393734,,
122,192,2000,France,Other fossil,12.102,2.2612743965876003,,
123,193,2000,France,Nuclear,415.162,77.57355817518621,,
125,195,2000,France,Hydro,66.363249,12.4000591503939,,
126,197,2000,France,Wind,0.04816,0.0089987584646884,,
127,198,2000,France,Solar,0.005222999999999999,0.000975924324357715,,
128,199,2000,France,Bioenergy,2.479,0.4632043653231429,,
129,200,2000,France,Other renewables,0.507307,0.0947909709394867,,
130,204,2000,Germany,Fossil,364.5,63.730461237192706,,
131,205,2000,Germany,Coal,291.4,50.9494002867433,,
132,206,2000,Germany,Hard Coal,143.1,25.0201070042312,,
133,207,2000,Germany,Lignite,148.3,25.929293282512102,,
134,208,2000,Germany,Gas,49.2,8.602300940658111,,
135,209,2000,Germany,Other fossil,23.9,4.17876000979123,,
136,210,2000,Germany,Nuclear,169.6,29.6534601531629,,
138,212,2000,Germany,Hydro,24.9,4.353603524845259,,
139,214,2000,Germany,Wind,9.5,1.66101339301325,,
140,215,2000,Germany,Solar,0.04,0.00699374060216106,,
141,216,2000,Germany,Bioenergy,3.4,0.5944679511836899,,
142,217,2000,Germany,Other renewables,0.0,0.0,,
143,221,2000,Greece,Fossil,49.281000000000006,92.2433317735142,,
144,222,2000,Greece,Coal,34.313,64.2264857276556,,
145,223,2000,Greece,Hard Coal,0.013999999999999999,0.0262049602246139,,
146,224,2000,Greece,Lignite,34.299,64.2002807674309,,
147,225,2000,Greece,Gas,5.92,11.080954609265302,,
148,226,2000,Greece,Other fossil,9.048,16.9358914365933,,
149,227,2000,Greece,Nuclear,0.0,0.0,,
151,229,2000,Greece,Hydro,3.6929999999999903,6.912494150678519,,
152,231,2000,Greece,Wind,0.451,0.8441740758072059,,
153,232,2000,Greece,Solar,0.0,0.0,,
154,233,2000,Greece,Bioenergy,0.0,0.0,,
155,234,2000,Greece,Other renewables,0.0,0.0,,
156,238,2000,Hungary,Fossil,20.768,59.015461380251296,,
157,239,2000,Hungary,Coal,9.59,27.251457754074,,
158,240,2000,Hungary,Hard Coal,0.067,0.190390789314177,,
159,241,2000,Hungary,Lignite,9.523,27.0610669647599,,
160,242,2000,Hungary,Gas,6.602,18.760596881376102,,
161,243,2000,Hungary,Other fossil,4.5760000000000005,13.003406744801099,,
162,244,2000,Hungary,Nuclear,14.18,40.2946476488811,,
164,246,2000,Hungary,Hydro,0.17800000000000002,0.505814335789904,,
165,248,2000,Hungary,Wind,0.0,0.0,,
166,249,2000,Hungary,Solar,0.0,0.0,,
167,250,2000,Hungary,Bioenergy,0.0647779999999999,0.18407663507751898,,
168,251,2000,Hungary,Other renewables,0.0,0.0,,
169,255,2000,Ireland,Fossil,22.488000000000003,94.99028470051529,,
170,256,2000,Ireland,Coal,6.817,28.795302863901302,,
171,257,2000,Ireland,Hard Coal,6.817,28.795302863901302,,
172,258,2000,Ireland,Lignite,0.0,0.0,,
173,259,2000,Ireland,Gas,9.263,39.1273126636816,,
174,260,2000,Ireland,Other fossil,6.4079999999999995,27.067669172932302,,
175,261,2000,Ireland,Nuclear,0.0,0.0,,
177,263,2000,Ireland,Hydro,0.847,3.57776463630987,,
178,265,2000,Ireland,Wind,0.244,1.03066655402551,,
179,266,2000,Ireland,Solar,0.0,0.0,,
180,267,2000,Ireland,Bioenergy,0.095,0.40128410914927704,,
181,268,2000,Ireland,Other renewables,0.0,0.0,,
182,272,2000,Italy,Fossil,218.275882,81.0967081033286,,
183,273,2000,Italy,Coal,26.272,9.76091676170916,,
184,274,2000,Italy,Hard Coal,26.266,9.75868756330134,,
185,275,2000,Italy,Lignite,0.006,0.0022291984078203,,
186,276,2000,Italy,Gas,101.36,37.6585917694442,,
187,277,2000,Italy,Other fossil,90.6438819999999,33.6771995721752,,
188,278,2000,Italy,Nuclear,0.0,0.0,,
190,280,2000,Italy,Hydro,44.199445999999895,16.421555774956502,,
191,282,2000,Italy,Wind,0.563,0.209173117267138,,
192,283,2000,Italy,Solar,0.018000000000000002,0.0066875952234609,,
193,284,2000,Italy,Bioenergy,1.3937179999999898,0.5178123244250821,,
194,285,2000,Italy,Other renewables,4.705,1.7480630847990801,,
195,289,2000,Latvia,Fossil,1.3130000000000002,31.741242873933803,,
196,290,2000,Latvia,Coal,0.0,0.0,,
197,291,2000,Latvia,Hard Coal,0.0,0.0,,
198,292,2000,Latvia,Lignite,0.0,0.0,,
199,293,2000,Latvia,Gas,1.128,27.2689428498075,,
200,294,2000,Latvia,Other fossil,0.185,4.47230002412624,,
201,295,2000,Latvia,Nuclear,0.0,0.0,,
203,297,2000,Latvia,Hydro,2.819157,68.1519779411658,,
204,299,2000,Latvia,Wind,0.004417,0.106779184900354,,
205,300,2000,Latvia,Solar,0.0,0.0,,
206,301,2000,Latvia,Bioenergy,0.0,0.0,,
207,302,2000,Latvia,Other renewables,0.0,0.0,,
208,306,2000,Lithuania,Fossil,2.271,20.589970191235498,,
209,307,2000,Lithuania,Coal,0.0,0.0,,
210,308,2000,Lithuania,Hard Coal,0.0,0.0,,
211,309,2000,Lithuania,Lignite,0.0,0.0,,
212,310,2000,Lithuania,Gas,1.6159999999999999,14.6514274896682,,
213,311,2000,Lithuania,Other fossil,0.655,5.938542701567281,,
214,312,2000,Lithuania,Nuclear,8.419,76.3306732893053,,
216,314,2000,Lithuania,Hydro,0.33964199999999894,3.0793565194591004,,
217,316,2000,Lithuania,Wind,0.0,0.0,,
218,317,2000,Lithuania,Solar,0.0,0.0,,
219,318,2000,Lithuania,Bioenergy,0.0,0.0,,
220,319,2000,Lithuania,Other renewables,0.0,0.0,,
221,323,2000,Luxembourg,Fossil,0.24852600000000002,59.290732766333,,
