,Year,Area,Share_sum(%),Change_sum(%)
0,2000,Austria,145.13557025454892,0.0
1,2000,Austria,145.13557025454892,0.0
2,2000,Austria,145.13557025454892,0.0
3,2000,Austria,145.13557025454892,0.0
4,2000,Austria,145.13557025454892,0.0
5,2000,Austria,145.13557025454892,0.0
6,2000,Austria,145.13557025454892,0.0
7,2000,Belgium,60.70216133280167,0.0
8,2000,Belgium,60.70216133280167,0.0
9,2000,Belgium,60.70216133280167,0.0
10,2000,Belgium,60.70216133280167,0.0
11,2000,Belgium,60.70216133280167,0.0
12,2000,Belgium,60.70216133280167,0.0
13,2000,Belgium,60.70216133280167,0.0
14,2000,Bulgaria,57.728302630282684,0.0
15,2000,Bulgaria,57.728302630282684,0.0
16,2000,Bulgaria,57.728302630282684,0.0
17,2000,Bulgaria,57.728302630282684,0.0
18,2000,Bulgaria,57.728302630282684,0.0
19,2000,Bulgaria,57.728302630282684,0.0
20,2000,Bulgaria,57.728302630282684,0.0
21,2000,Croatia,114.60458674053741,0.0
22,2000,Croatia,114.60458674053741,0.0
23,2000,Croatia,114.60458674053741,0.0
24,2000,Croatia,114.60458674053741,0.0
25,2000,Croatia,114.60458674053741,0.0
26,2000,Croatia,114.60458674053741,0.0
27,2000,Croatia,114.60458674053741,0.0
28,2000,Cyprus,0.0,0.0
29,2000,Cyprus,0.0,0.0
30,2000,Cyprus,0.0,0.0
31,2000,Cyprus,0.0,0.0
32,2000,Cyprus,0.0,0.0
33,2000,Cyprus,0.0,0.0
34,2000,Cyprus,0.0,0.0
35,2000,Czech Republic,24.9039506531882,0.0
36,2000,Czech Republic,24.9039506531882,0.0
37,2000,Czech Republic,24.9039506531882,0.0
38,2000,Czech Republic,24.9039506531882,0.0
39,2000,Czech Republic,24.9039506531882,0.0
40,2000,Czech Republic,24.9039506531882,0.0
41,2000,Czech Republic,24.9039506531882,0.0
42,2000,Denmark,30.943521963680684,0.0
43,2000,Denmark,30.943521963680684,0.0
44,2000,Denmark,30.943521963680684,0.0
45,2000,Denmark,30.943521963680684,0.0
46,2000,Denmark,30.943521963680684,0.0
47,2000,Denmark,30.943521963680684,0.0
48,2000,Denmark,30.943521963680684,0.0
49,2000,Estonia,0.42874342936011434,0.0
50,2000,Estonia,0.42874342936011434,0.0
51,2000,Estonia,0.42874342936011434,0.0
52,2000,Estonia,0.42874342936011434,0.0
53,2000,Estonia,0.42874342936011434,0.0
54,2000,Estonia,0.42874342936011434,0.0
55,2000,Estonia,0.42874342936011434,0.0
56,2000,Finland,99.21372535260218,0.0
57,2000,Finland,99.21372535260218,0.0
58,2000,Finland,99.21372535260218,0.0
59,2000,Finland,99.21372535260218,0.0
60,2000,Finland,99.21372535260218,0.0
61,2000,Finland,99.21372535260218,0.0
62,2000,Finland,99.21372535260218,0.0
63,2000,France,103.50961651407736,0.0
64,2000,France,103.50961651407736,0.0
65,2000,France,103.50961651407736,0.0
66,2000,France,103.50961651407736,0.0
67,2000,France,103.50961651407736,0.0
68,2000,France,103.50961651407736,0.0
69,2000,France,103.50961651407736,0.0
70,2000,Germany,42.88561737245161,0.0
71,2000,Germany,42.88561737245161,0.0
